time,open,high,low,close,tick_volume,spread,real_volume
2026-08-16 01:00:00+00:00,63148.11,63164.7,63118.01,63122.57,2250,1694,0
2026-08-16 02:00:00+00:00,63122.89,63131.65,63073.37,63076.45,2340,1694,0
2026-08-16 03:00:00+00:00,63076.45,63076.77,63053.3,63073.38,2096,1694,0
2026-08-16 04:00:00+00:00,63072.67,63074.75,62994.87,63074.75,1730,1694,0
2026-08-16 05:00:00+00:00,63074.19,63144.18,63010.8,63114.11,2371,1694,0
2026-08-16 06:00:00+00:00,63112.75,63120.13,63100.42,63116.56,1881,1694,0
2026-08-16 07:00:00+00:00,63117.77,63145.77,63076.01,63077.56,2065,1694,0
2026-08-16 08:00:00+00:00,63076.96,63086.69,63026.47,63052.65,2045,1694,0
2026-08-16 09:00:00+00:00,63051.95,63075.17,63016.2,63057.84,1787,1694,0
2026-08-16 10:00:00+00:00,63058.97,63058.98,63043.69,63052.42,1852,1694,0
2026-08-16 11:00:00+00:00,63051.3,63065.65,63048.66,63060.19,1884,1694,0
2026-08-16 12:00:00+00:00,63059.28,63060.51,62957.05,62981.13,2023,1694,0
2026-08-16 13:00:00+00:00,62980.34,63004.09,62956.36,62998.26,1825,1694,0
2026-08-16 14:00:00+00:00,62998.76,63004.38,62969.56,63004.38,2000,1694,0
2026-08-16 15:00:00+00:00,63002.9,63015.63,62977.56,63004.98,1905,1694,0
2026-08-16 16:00:00+00:00,63007.33,63058.91,63004.96,63049.26,1830,1694,0
2026-08-16 17:00:00+00:00,63049.03,63092.28,63047.67,63092.27,2909,1694,0
2026-08-16 18:00:00+00:00,63092.91,63136.19,63092.91,63131.19,2091,1694,0
2026-08-16 19:00:00+00:00,63133.23,63380.34,63123.93,63249.73,3143,1694,0
2026-08-16 20:00:00+00:00,63248.97,63267.09,63107.96,63143.48,2499,1694,0
2026-08-16 21:00:00+00:00,63145.28,63166.55,63106.41,63129.71,2033,1694,0
2026-08-16 22:00:00+00:00,63129.57,63220.57,63083.78,63095.37,2436,1694,0
2026-08-16 23:00:00+00:00,63096.1,63132.16,63013.17,63057.54,2311,1694,0
2026-08-17 00:00:00+00:00,63057.8,63076.44,62737.64,62916.71,3735,1694,0
2026-08-17 01:00:00+00:00,62916.64,62946.46,62703.57,62904.23,4052,1694,0
2026-08-17 02:00:00+00:00,62903.97,62985.99,62818.74,62892.49,2994,1694,0
2026-08-17 03:00:00+00:00,62892.5,62947.99,62740.38,62901.91,3873,1694,0
2026-08-17 04:00:00+00:00,62901.22,63236.0,62880.79,63102.68,5426,1694,0
2026-08-17 05:00:00+00:00,63099.04,63491.14,63019.77,63395.05,4755,1694,0
2026-08-17 06:00:00+00:00,63395.43,63511.48,63331.55,63419.93,3016,1694,0
